KKUPL01,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,With Period Beginning Balance,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22
Account Segment,,,,,,3201010700 ,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Year Beginning Balances,,,Net Beginning Balances,,,Prior Periods,,,Period Activity,,Ending Balances,,,Net Ending Balances,
Account,,,Account Description,,,,Debit,Credit,,Debit,Credit,,Debit,Credit,,Debit,Credit,Debit,,Credit,Debit,Credit
1-07-07001-3201010700-02-0000-0000-000000-000000-0-2567,,,มหาวิทยาลัยขอนแก่น-คณะแพทยศาสตร์-หน่วยงานภายใต้คณะแพทย์-บัญชีทุนสำรองสะสม \- คณะแพ-งบประมาณเงินรายได้-ค่าเริ่มต้น \- Default Val-ค่าเริ่มต้น \- Default val-ค่าเริ่มต้น \- Default val-ค่าเริ่มต้น \- Default val-Global Consolidated Paren-Budget Period 2567,,,,11701976345.94,0,,11701976345.94,0,,0,0,,0,0,11701976345.94,,0,11701976345.94,0
,,,,,,,,,,,,,,,,,,,,,, 
1-07-07001-3201010700-06-0000-0000-000000-000000-0-2567,,,มหาวิทยาลัยขอนแก่น-คณะแพทยศาสตร์-หน่วยงานภายใต้คณะแพทย์-บัญชีทุนสำรองสะสม \- คณะแพ-งบประมาณเงินอุดหนุนจากรัฐ-ค่าเริ่มต้น \- Default Val-ค่าเริ่มต้น \- Default val-ค่าเริ่มต้น \- Default val-ค่าเริ่มต้น \- Default val-Global Consolidated Paren-Budget Period 2567,,,,0,348817130,,0,348817130,,0,0,,0,0,0,,348817130,0,348817130
,,,,,,,,,,,,,,,,,,,,,, 
1-47-C7060-3201010700-02-0000-0000-000000-000000-0-2567,,,มหาวิทยาลัยขอนแก่น-คณะแพทยศาสตร์ \- โรงพยาบาล-โรงพยาบาลศรีนครินทร์-บัญชีทุนสำรองสะสม \- คณะแพ-งบประมาณเงินรายได้-ค่าเริ่มต้น \- Default Val-ค่าเริ่มต้น \- Default val-ค่าเริ่มต้น \- Default val-ค่าเริ่มต้น \- Default val-Global Consolidated Paren-Budget Period 2567,,,,0,14737165215.98,,0,14737165215.98,,0,0,,0,0,0,,14737165215.98,0,14737165215.98
,,,,,,,,,,,,,,,,,,,,,, 
1-47-C7060-3201010700-06-0000-0000-000000-000000-0-2567,,,มหาวิทยาลัยขอนแก่น-คณะแพทยศาสตร์ \- โรงพยาบาล-โรงพยาบาลศรีนครินทร์-บัญชีทุนสำรองสะสม \- คณะแพ-งบประมาณเงินอุดหนุนจากรัฐ-ค่าเริ่มต้น \- Default Val-ค่าเริ่มต้น \- Default val-ค่าเริ่มต้น \- Default val-ค่าเริ่มต้น \- Default val-Global Consolidated Paren-Budget Period 2567,,,,348817130,0,,348817130,0,,0,0,,0,0,348817130,,0,348817130,0
,,,,,,,,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,,,,,,,,,
Total for Account Segment,,3201010700.0,,,,12050793475.94,,15085982345.98,0.0,,3035188870.039999,0.0,,0,0.0,,0,12050793475.94,,15085982345.98,0,3035188870.039999
,,,,,,,,,,,,,,,,,,,,,, 
Account Segment,,,,,,3201010800 ,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Year Beginning Balances,,,Net Beginning Balances,,,Prior Periods,,,Period Activity,,Ending Balances,,,Net Ending Balances,
Account,,,Account Description,,,,Debit,Credit,,Debit,Credit,,Debit,Credit,,Debit,Credit,Debit,,Credit,Debit,Credit
1-08-08001-3201010800-02-0000-0000-000000-000000-0-2567,,,มหาวิทยาลัยขอนแก่น-คณะมนุษยศาสตร์และสังคมศาส-หน่วยงานภายใต้คณะมนุษยศาส-บัญชีทุนสำรองสะสม \- คณะมน-งบประมาณเงินรายได้-ค่าเริ่มต้น \- Default Val-ค่าเริ่มต้น \- Default val-ค่าเริ่มต้น \- Default val-ค่าเริ่มต้น \- Default val-Global Consolidated Paren-Budget Period 2567,,,,0,64285036.37,,0,64285036.37,,0,0,,0,0,0,,64285036.37,0,64285036.37
,,,,,,,,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,,,,,,,,,
Total for Account Segment,,3201010800.0,,,,0,,64285036.37,0.0,,64285036.37,0.0,,0,0.0,,0,0,,64285036.37,0,64285036.37
,,,,,,,,,,,,,,,,,,,,,, 
Account Segment,,,,,,3201010900 ,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Year Beginning Balances,,,Net Beginning Balances,,,Prior Periods,,,Period Activity,,Ending Balances,,,Net Ending Balances,
Account,,,Account Description,,,,Debit,Credit,,Debit,Credit,,Debit,Credit,,Debit,Credit,Debit,,Credit,Debit,Credit
1-09-09001-3201010900-02-0000-0000-000000-000000-0-2567,,,มหาวิทยาลัยขอนแก่น-คณะเทคนิคการแพทย์-หน่วยงานภายใต้คณะเทคนิคกา-บัญชีทุนสำรองสะสม \- คณะเท-งบประมาณเงินรายได้-ค่าเริ่มต้น \- Default Val-ค่าเริ่มต้น \- Default val-ค่าเริ่มต้น \- Default val-ค่าเริ่มต้น \- Default val-Global Consolidated Paren-Budget Period 2567,,,,0,96180448.93,,0,96180448.93,,0,0,,0,0,0,,96180448.93,0,96180448.93
,,,,,,,,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,,,,,,,,,
Total for Account Segment,,3201010900.0,,,,0,,96180448.93,0.0,,96180448.93,0.0,,0,0.0,,0,0,,96180448.93,0,96180448.93
,,,,,,,,,,,,,,,,,,,,,, 
Account Segment,,,,,,3201011000 ,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Year Beginning Balances,,,Net Beginning Balances,,,Prior Periods,,,Period Activity,,Ending Balances,,,Net Ending Balances,
Account,,,Account Description,,,,Debit,Credit,,Debit,Credit,,Debit,Credit,,Debit,Credit,Debit,,Credit,Debit,Credit
1-10-10001-3201011000-02-0000-0000-000000-000000-0-2567,,,มหาวิทยาลัยขอนแก่น-บัณฑิตวิทยาลัย-หน่วยงานภายใต้บัณฑิตวิทยา-บัญชีทุนสำรองสะสม \- บัณฑิ-งบประมาณเงินรายได้-ค่าเริ่มต้น \- Default Val-ค่าเริ่มต้น \- Default val-ค่าเริ่มต้น \- Default val-ค่าเริ่มต้น \- Default val-Global Consolidated Paren-Budget Period 2567,,,,0,18322820.17,,0,18322820.17,,0,0,,0,0,0,,18322820.17,0,18322820.17
,,,,,,,,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,,,,,,,,,
Total for Account Segment,,3201011000.0,,,,0,,18322820.17,0.0,,18322820.17,0.0,,0,0.0,,0,0,,18322820.17,0,18322820.17
,,,,,,,,,,,,,,,,,,,,,, 
Account Segment,,,,,,3201011100 ,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Year Beginning Balances,,,Net Beginning Balances,,,Prior Periods,,,Period Activity,,Ending Balances,,,Net Ending Balances,
Account,,,Account Description,,,,Debit,Credit,,Debit,Credit,,Debit,Credit,,Debit,Credit,Debit,,Credit,Debit,Credit
1-11-11001-3201011100-02-0000-0000-000000-000000-0-2567,,,มหาวิทยาลัยขอนแก่น-คณะสาธารณสุขศาสตร์-หน่วยงานภายใต้คณะสาธารณสุ-บัญชีทุนสำรองสะสม \- คณะสา-งบประมาณเงินรายได้-ค่าเริ่มต้น \- Default Val-ค่าเริ่มต้น \- Default val-ค่าเริ่มต้น \- Default val-ค่าเริ่มต้น \- Default val-Global Consolidated Paren-Budget Period 2567,,,,0,217993579.77,,0,217993579.77,,0,0,,0,0,0,,217993579.77,0,217993579.77
,,,,,,,,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,,,,,,,,,
Total for Account Segment,,3201011100.0,,,,0,,217993579.77,0.0,,217993579.77,0.0,,0,0.0,,0,0,,217993579.77,0,217993579.77
,,,,,,,,,,,,,,,,,,,,,, 
Account Segment,,,,,,3201011200 ,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Year Beginning Balances,,,Net Beginning Balances,,,Prior Periods,,,Period Activity,,Ending Balances,,,Net Ending Balances,
Account,,,Account Description,,,,Debit,Credit,,Debit,Credit,,Debit,Credit,,Debit,Credit,Debit,,Credit,Debit,Credit
1-12-12001-3201011200-02-0000-0000-000000-000000-0-2567,,,มหาวิทยาลัยขอนแก่น-สำนักหอสมุด-หน่วยงานภายใต้สำนักหอสมุด-บัญชีทุนสำรองสะสม \- สำนัก-งบประมาณเงินรายได้-ค่าเริ่มต้น \- Default Val-ค่าเริ่มต้น \- Default val-ค่าเริ่มต้น \- Default val-ค่าเริ่มต้น \- Default val-Global Consolidated Paren-Budget Period 2567,,,,0,42226598.19,,0,42226598.19,,0,0,,0,0,0,,42226598.19,0,42226598.19
,,,,,,,,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,,,,,,,,,
Total for Account Segment,,3201011200.0,,,,0,,42226598.19,0.0,,42226598.19,0.0,,0,0.0,,0,0,,42226598.19,0,42226598.19
,,,,,,,,,,,,,,,,,,,,,, 
Account Segment,,,,,,3201011300 ,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Year Beginning Balances,,,Net Beginning Balances,,,Prior Periods,,,Period Activity,,Ending Balances,,,Net Ending Balances,
Account,,,Account Description,,,,Debit,Credit,,Debit,Credit,,Debit,Credit,,Debit,Credit,Debit,,Credit,Debit,Credit
1-13-13001-3201011300-02-0000-0000-000000-000000-0-2567,,,มหาวิทยาลัยขอนแก่น-คณะทันตแพทยศาสตร์-หน่วยงานภายใต้คณะทันตแพทย-บัญชีทุนสำรองสะสม \- คณะทั-งบประมาณเงินรายได้-ค่าเริ่มต้น \- Default Val-ค่าเริ่มต้น \- Default val-ค่าเริ่มต้น \- Default val-ค่าเริ่มต้น \- Default val-Global Consolidated Paren-Budget Period 2567,,,,902185404.31,0,,902185404.31,0,,0,0,,0,0,902185404.31,,0,902185404.31,0
,,,,,,,,,,,,,,,,,,,,,, 
