Plan, Parent, Alias: Alias: English, Alias: Default, Valid For Consolidations, Data Storage, Two Pass Calculation, Description, Formula, Formula Description, UDA, Smart List, Data Type, Hierarchy Type, Enable for Dynamic Children, Number of Possible Dynamic Children, Access Granted to Member Creator, Allow Upper Level Entity Input, Process Management Enabled, UUID, Data Id, Old Name, Old Unique Name, Plan Type (KKUFIN), Aggregation (KKUFIN), Data Storage (KKUFIN), Formula (KKUFIN), Solve Order (KKUFIN), Formula Description (KKUFIN), Plan Type (KKUPLN), Aggregation (KKUPLN), Data Storage (KKUPLN), Formula (KKUPLN), Solve Order (KKUPLN), Formula Description (KKUPLN), Operation
5101,All Plan,,5101:แผนงานวิจัยเพื่อถ่ายทอดเทคโนโล,false,store,false,,<none>,<none>,,,unspecified,none,,,,false,true,25c75c2c-1fa2-4a74-b293-b964dd6b687b,4373688968236057,5101,<none>,true,+,store,<none>,0,,true,+,store,<none>,0,,
5201,All Plan,,5201:แผนงานวิจัยเพื่อสร้างองค์ความร,false,store,false,,<none>,<none>,,,unspecified,none,,,,false,true,379ac60c-45ee-4f1f-b18d-5cbd89da8973,418661599038059,5201,<none>,true,+,store,<none>,0,,true,+,store,<none>,0,,
2103,All Plan,,2103:แผนงานจัดการศึกษาคณะวิทยาศาสตร,false,store,false,,<none>,<none>,,,unspecified,none,,,,false,true,67ab9d77-b57f-46e1-b5ee-3d4e7f749369,3710617175279831,2103,<none>,true,+,store,<none>,0,,true,+,store,<none>,0,,
2101,All Plan,,2101:แผนงานจัดการศึกษาคณะเกษตรศาสตร,false,store,false,,<none>,<none>,,,unspecified,none,,,,false,true,0255cace-b300-4549-9572-2c79e56b7902,3349212154449386,2101,<none>,true,+,store,<none>,0,,true,+,store,<none>,0,,
2102,All Plan,,2102:แผนงานจัดการศึกษาคณะวิศวกรรมศา,false,store,false,,<none>,<none>,,,unspecified,none,,,,false,true,ec452c02-c616-47e5-8f60-54e723d8a71e,3922581690011289,2102,<none>,true,+,store,<none>,0,,true,+,store,<none>,0,,
2301,All Plan,,2301:แผนงานจัดการศึกษาคณะศึกษาศาสตร,false,store,false,,<none>,<none>,,,unspecified,none,,,,false,true,c08a1684-c3a9-4d86-953b-30e6173f4081,524234864871126,2301,<none>,true,+,store,<none>,0,,true,+,store,<none>,0,,
2205,All Plan,,2205:แผนงานจัดการศึกษาคณะพยาบาลศาสต,false,store,false,,<none>,<none>,,,unspecified,none,,,,false,true,fbad8b06-29d6-4415-bb2f-e857afb89f06,443847041895334,2205,<none>,true,+,store,<none>,0,,true,+,store,<none>,0,,
2201,All Plan,,2201:แผนงานจัดการศึกษาคณะแพทยศาสตร์,false,store,false,,<none>,<none>,,,unspecified,none,,,,false,true,0a199188-dda5-49a6-bd5d-b94577939cde,551922701585531,2201,<none>,true,+,store,<none>,0,,true,+,store,<none>,0,,
2302,All Plan,,2302:แผนงานจัดการศึกษาคณะมนุษยศาสตร,false,store,false,,<none>,<none>,,,unspecified,none,,,,false,true,c0de189a-9eee-4c01-99ca-186729ab6915,889297289105124,2302,<none>,true,+,store,<none>,0,,true,+,store,<none>,0,,
2204,All Plan,,2204:แผนงานจัดการศึกษาคณะเทคนิคการแ,false,store,false,,<none>,<none>,,,unspecified,none,,,,false,true,5ee21095-0062-487e-8eeb-55e3447f7dc0,32149198424079,2204,<none>,true,+,store,<none>,0,,true,+,store,<none>,0,,
2308,All Plan,,2308:แผนงานจัดการศึกษาบัณฑิตวิทยาลั,false,store,false,,<none>,<none>,,,unspecified,none,,,,false,true,6ebddd36-3cd7-4245-8a3d-0a2702151caa,446355339756397,2308,<none>,true,+,store,<none>,0,,true,+,store,<none>,0,,
2108,All Plan,,2108:แผนงานจัดการศึกษาบัณฑิตวิทยาลั,false,store,false,,<none>,<none>,,,unspecified,none,,,,false,true,ffac1890-44b8-4677-b2a5-7fb12f0c8907,67300292248574,2108,<none>,true,+,store,<none>,0,,true,+,store,<none>,0,,
2209,All Plan,,2209:แผนงานจัดการศึกษาบัณฑิตวิทยาลั,false,store,false,,<none>,<none>,,,unspecified,none,,,,false,true,88441182-9075-4b00-89cd-7cff49a99cd1,3245308966879714,2209,<none>,true,+,store,<none>,0,,true,+,store,<none>,0,,
2206,All Plan,,2206:แผนงานจัดการศึกษาคณะสาธารณสุขศ,false,store,false,,<none>,<none>,,,unspecified,none,,,,false,true,2707998b-ba5c-4f16-b189-642b173390c5,526266329417396,2206,<none>,true,+,store,<none>,0,,true,+,store,<none>,0,,
2203,All Plan,,2203:แผนงานจัดการศึกษาคณะทันตแพทยศา,false,store,false,,<none>,<none>,,,unspecified,none,,,,false,true,3fae01f8-a3ba-4a17-9445-baf2dfc8e28a,3860264896382752,2203,<none>,true,+,store,<none>,0,,true,+,store,<none>,0,,
2310,All Plan,,2310:แผนงานจัดการศึกษาวิทยาลัยบัณฑิ,false,store,false,,<none>,<none>,,,unspecified,none,,,,false,true,9e306324-5623-40b7-9b90-b7f3dc1fbb64,969020002748157,2310,<none>,true,+,store,<none>,0,,true,+,store,<none>,0,,
2202,All Plan,,2202:แผนงานจัดการศึกษาคณะเภสัชศาสตร,false,store,false,,<none>,<none>,,,unspecified,none,,,,false,true,97c5d887-b7a9-4ed2-9758-e641dcbab151,2111553792986253,2202,<none>,true,+,store,<none>,0,,true,+,store,<none>,0,,
2104,All Plan,,2104:แผนงานจัดการศึกษาคณะเทคโนโลยี,false,store,false,,<none>,<none>,,,unspecified,none,,,,false,true,afd5e7d0-bcfb-456c-b7d1-c31cf8e5a5c9,1899881072510068,2104,<none>,true,+,store,<none>,0,,true,+,store,<none>,0,,
2207,All Plan,,2207:แผนงานจัดการศึกษาคณะสัตวแพทยศา,false,store,false,,<none>,<none>,,,unspecified,none,,,,false,true,a1d551cd-ba4e-4073-8789-0d437e78ea7c,2826390978906996,2207,<none>,true,+,store,<none>,0,,true,+,store,<none>,0,,
2105,All Plan,,2105:แผนงานจัดการศึกษาคณะสถาปัตยกรร,false,store,false,,<none>,<none>,,,unspecified,none,,,,false,true,b5cd99f3-907b-4d6c-840c-4d93afecc8f5,4432085575944816,2105,<none>,true,+,store,<none>,0,,true,+,store,<none>,0,,
2303,All Plan,,2303:แผนงานจัดการศึกษาคณะบริหารธุรก,false,store,false,,<none>,<none>,,,unspecified,none,,,,false,true,782de624-0267-4df0-8131-00755bad688b,1443205337403353,2303,<none>,true,+,store,<none>,0,,true,+,store,<none>,0,,
2305,All Plan,,2305:แผนงานจัดการศึกษาคณะศิลปกรรมศา,false,store,false,,<none>,<none>,,,unspecified,none,,,,false,true,198713af-bc3b-4f90-819a-cd73fc2e386f,1986413810434831,2305,<none>,true,+,store,<none>,0,,true,+,store,<none>,0,,
2309,All Plan,,2309:แผนงานจัดการศึกษาวิทยาลัยการปก,false,store,false,,<none>,<none>,,,unspecified,none,,,,false,true,5851f44f-dabb-4153-a112-4efbbd9408a0,1816605999449650,2309,<none>,true,+,store,<none>,0,,true,+,store,<none>,0,,
2311,All Plan,,2311:แผนงานจัดการศึกษาวิทยาลัยนานาช,false,store,false,,<none>,<none>,,,unspecified,none,,,,false,true,745b2f60-3663-4cde-a977-647cd40f2379,1590665621688292,2311,<none>,true,+,store,<none>,0,,true,+,store,<none>,0,,
2304,All Plan,,2304:แผนงานจัดการศึกษาคณะเศรษฐศาสตร,false,store,false,,<none>,<none>,,,unspecified,none,,,,false,true,e350d046-643a-489f-b1cf-80b4a3d235d2,4120854676981193,2304,<none>,true,+,store,<none>,0,,true,+,store,<none>,0,,
2107,All Plan,,2107:แผนงานจัดการศึกษาคณะสหวิทยาการ,false,store,false,,<none>,<none>,,,unspecified,none,,,,false,true,b7472dd1-ac73-43ce-884e-49107522e413,2204028058357605,2107,<none>,true,+,store,<none>,0,,true,+,store,<none>,0,,
2307,All Plan,,2307:แผนงานจัดการศึกษาคณะสหวิทยาการ,false,store,false,,<none>,<none>,,,unspecified,none,,,,false,true,55b520bf-3125-4e0c-ab58-7e994a3bcb51,3740707421439092,2307,<none>,true,+,store,<none>,0,,true,+,store,<none>,0,,
2109,All Plan,,2109:แผนงานจัดการศึกษาวิทยาลัยการคอ,false,store,false,,<none>,<none>,,,unspecified,none,,,,false,true,3fec11c1-7d78-43d1-a63d-178107c855d4,2898130452828110,2109,<none>,true,+,store,<none>,0,,true,+,store,<none>,0,,
2306,All Plan,,2306:แผนงานจัดการศึกษาคณะนิติศาสตร์,false,store,false,,<none>,<none>,,,unspecified,none,,,,false,true,fdd1bf51-a54e-4b96-9592-5674bd93f5ef,3616919259073906,2306,<none>,true,+,store,<none>,0,,true,+,store,<none>,0,,
9001,All Plan,,9001:งบประมาณและค่าใช้จ่ายนอกแผนงบป,false,store,false,,<none>,<none>,,,unspecified,none,,,,false,true,777ae4d7-b257-4c62-b9f4-ae60f4dca871,4125632665373855,9001,<none>,true,+,store,<none>,0,,true,+,store,<none>,0,,
8881,All Plan,,8881:Test,false,store,false,,<none>,<none>,New,,unspecified,none,,,,false,true,7c60b0aa-a7c1-4783-8fb0-a0ed466950a9,100624785753043,8881,<none>,true,+,store,<none>,0,,true,+,store,<none>,0,,
No Plan,Total Plan,,ค่าเริ่มต้น - Default Value,false,store,false,,<none>,<none>,,,unspecified,none,,,,false,true,50dc5072-740f-4df8-830d-9815afd9ff46,2578425295621875,No Plan,<none>,true,+,store,<none>,0,,true,+,store,<none>,0,,
